title,salary,lower,upper,currency_unit,address,time,rank,experience,number_of_recruits,working_form,sex,company,description,requirements,benefit,url
QC/QA ( Tester ),2.000USD,2000.0,2000.0,USD,"Hồ Chí Minh: 84A/42 Trần Hữu Trang, Phường 10, Phú Nhuận, Đà Nẵng: Lầu 11, Vĩnh Trung Plaza, 255 Hùng Vương, Thanh Khê",22-12-2023,Nhân viên,2,2,Toàn thời gian,Không yêu cầu,Công ty Mediastep Software Vietnam,,,"3.Why You'll Love Working Here -Salary: Up to 2000 USD -15 days annual leave -13,14 month performance based bonus -Insurance full gross salary -Working with a high performance team delivery product quickly with quality -Company trip",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fqc-qa-tester%2F988343.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Quản Lý Server,15-30triệu,15.0,30.0,VND,"Đồng Nai: Xã Phước An, huyện Nhơn Trạch, tỉnh Đồng Nai, Nhơn Trạch",22-12-2023,Nhân viên,2,5,Toàn thời gian,Nam,CÔNG TY CỔ PHẦN DẦU KHÍ ĐẦU TƯ KHAI THÁC CẢNG PHƯỚC AN,"Quản lý server, phần mềm quản lý vận hành cảng và quản trị mạng internet; Phát hiện và khắc phục các sự cố kỹ thuật liên quan đến server và mạng; Thiết lập và vận hành các hệ thống email, bảo mật mạng và ứng dụng liên quan; Nghiên cứu các giải pháp kỹ thuật mới và triển khai trong quá trình thực hiện;","Tốt nghiệp Đại học khối ngành CNTT, kỹ thuật, điện tử viễn thông, điện- điện tử Có từ 2 năm kinh nghiệm về quản lý website, quản lý phần mềm vận hành cảng...hoặc tương đương; Có kiến thức chuyên sâu về quản lý server, phần mềm quản lý vận hành cảng và quản trị mạng internet; Có khả năng làm việc độc lập và làm việc trong nhóm và kỹ năng giao tiếp.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-quan-ly-server%2F1144996.html%3Fta_source%3DITJobs_LinkDetail
FullStack JavaScript Developer,,,,,"Đà Nẵng: 199 Đống Đa, Hải Châu",31-12-2023,Nhân viên,4,2,Toàn thời gian,Không yêu cầu,Công ty TNHH Corize,"Use a variety of programming languages to create user-friendly web pages, familiar with JavaScript language and frameworks Maintain and improve the company website Write documentation/tests for existing projects Build high-quality mockups and design different prototypes Provide high-quality graphics and visual elements Optimize our web applications for maximum speed Always stay consistent with our brand guidelines Get feedback from users and customers Make suggestions for better solutions to problems Keep abreast of the latest and emerging technologies","4+ years of experience in the software development team; Strong proficiency with JavaScript, ReactJs, TypeScript, NodeJs, ExpressJs, and jQuery (at least 3+ years of experience); Experience optimizing and tuning code for performance and maintainability – includes utilizing asynchronous programming, offline storage, and multi-threading as well as working around system/language limitations to achieve desired performance benchmarks; Working knowledge of front-end technologies, such as HTML5 and CSS3; Experience with back-end data management that optimizes RESTful APIs / microservices performance for varied user platforms – desktop, mobile (iOS), web services, and more; Proficient understanding of code versioning tools, such as Git; Knowledge of Agile/Scrum methodologies; A positive attitude always looking to empower the success of others; Willingness to take ownership and find ways to unblock oneself; Trustworthy, team-oriented, and transparent. Good English/Japanese communication skills; Ability to make plans and manage well. Ability to acquire and apply new technology. Clear-headed, flexible, and emotionally intelligent in problem-solving.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Ffullstack-javascript-developer%2F1179426.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Unity Developer ( Game Developer ),25triệu,25.0,25.0,VND,"Hà Nội: Tòa nhà Toyota Thanh Xuân, số 315 Trường Chinh, Hà Nội, Thanh Xuân",22-12-2023,Nhân viên,1,1,Toàn thời gian,Không yêu cầu,Zitga studios,"Xây dựng và phát triển Midcore RPG Games trên nền tảng Unity cho hệ điều hành Android & IOS; Cùng team đóng góp các ý tưởng và thực hiện mục tiêu đưa sản phẩm đến tay hàng triệu người dùng Global; Sửa lỗi và cải thiện tính năng, hiệu suất trò chơi; Phối hợp với các thành viên trong team để vận hành và tối ưu hóa sản phẩm.","Có ít nhất 1 năm kinh nghiệm với Unity và đã từng phát hành game ra Global; Có kiến thức tốt về OOP, Design Patterns, có khả năng xử lý tốt conflict native plugins, build multiple platform, Optimize performance, build size,...; Tinh thần trách nhiệm cao, chăm chỉ, tập trung trong công việc, chịu áp lực cao (chuyên nghiệp, chiến binh); Làm việc độc lập, làm việc nhóm tốt; Cởi mở, sẵn sàng học tập, chia sẻ công nghệ mới; Thích chơi game, có kiến thức về game là 1 lợi thế; Ưu tiên có sản phẩm demo (ghi rõ vai trò trong dự án nếu làm theo team);",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-unity-developer-game-developer%2F1179528.html%3Fta_source%3DITJobs_LinkDetail
Chuyên Viên Đào Tạo (Lĩnh Vực Công Nghệ Thông Tin),27triệu,27.0,27.0,VND,"Hà Nội: 21 Duy Tân, Cầu Giấy",31-12-2023,Trưởng nhóm,3,1,Toàn thời gian,Không yêu cầu,Công Ty Cổ Phần Công Nghệ VMO Holdings,,"Yêu cầu ứng viên cần am hiểu về sâu về lĩnh vực Công nghệ thông tin, IT Outsourcing  Có kinh nghiệm phân tích, xây dựng lộ trình đào tạo/ học tập cho các vị trí công nghệ  Có hiểu biết cơ bản về lĩnh vực đào tạo doanh nghiệp  Hoạt bát, linh hoạt, nhanh nhẹn, có khả năng giao tiếp ấn tượng, hiệu quả",CƠ HỘI VÀ THỬ THÁCH CHÍNH SÁCH ĐÃI NGỘ,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fchuyen-vien-dao-tao-linh-vuc-cong-nghe-thong-tin%2F1179451.html%3Fta_source%3DITJobs_LinkDetail
Backend Developer (Golang),20-35triệu,20.0,35.0,VND,"Hồ Chí Minh: Tầng 9, Tòa nhà Crico, 222 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh, Quận 3",31-12-2023,Nhân viên,3,1,Toàn thời gian,Không yêu cầu,CÔNG TY TNHH ANFIN,"Work closely with the tech lead, product team, and leadership to define, design, build, test, and deploy the scalable products in the investment space in Vietnam Design and develop new features for the  Anfin  platform/ system Build and maintain scalable back-end API for mobile platforms Build extensible integration with 3rd party partners Participate in reviewing product design and code reviews Improve system quality by identifying issues and common patterns, and developing scalable solutions Investigate and use new technologies where relevant Communicate with other team members to determine the best solutions to difficult issues","Bachelor’s/ Master’s degree in computer science/engineering or equivalent professional experience Have 3+ years of experience as a Backend Development or Software Development Strong skills with some of the back-end technologies such as Golang Extensive experience with MySQL or PostgreSQL including performance tuning and optimization Can do with application performance monitoring and optimization Capable of being in charge of the job as an Engineer Owner  Ability to plan the work on your solutions before writing code Excellent at coding (the code is well documented and compliant with good practices) and testing (Unit Test, Integration Test) Be understand the Big-O analysis of algorithms Have good experience in cloud architecture/ infrastructure, especially on Google Cloud Platform (GCP) Good at problem-solving and teamwork skills",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fbackend-developer-golang%2F1179649.html%3Fta_source%3DITJobs_LinkDetail
System Support Administrator,10triệu,10.0,10.0,VND,"Hà Nội: MHDI Tower 68 Nguyễn Cơ Thạch Mỹ Đình Hà Nội, Nam Từ Liêm",22-12-2023,Nhân viên,1,1,Toàn thời gian,Nữ,CÔNG TY TNHH PRINT ON DEMAND TECHNOLOGIES,"Managing notifications from the system and users. Coordinating with the Technical team, Production team, Customer support team, Sales team, etc....to address issues in production  System data entry: Creating new products, adding new stores, etc. Other System administrative tasks.","From 6 months experience as a IT System Support Administrator  Strong English reading comprehension and proficient business email writing skills.  Hardworking, meticulous, and detail-oriented Passion in support roles. Strong self-learning and teamwork skills.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsystem-support-administrator%2F1179860.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Giám Sát Camera - Đi Làm Ngay,6-10triệu,6.0,10.0,VND,"Hà Nội: NO 06LK 05 Văn Phú , Phường Phú La, Hà Đông",22-12-2023,Nhân viên,0,3,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIẾT BỊ ĐIỆN CÔNG NGHIỆP HÀ NỘI,,," Mức lương: Lương cứng 6.000.000 KPI lỗi thu nhập  ( 7 -10tr) Thời gian: Có 2 ca xoay 8h30-16h30, và 14h00-22h00. Tuần nghỉ 1 buổi.  Được hưởng đầy đủ các chệ độ BHXH, BHYT, BHTN theo đúng Luật Lao Động. Du lịch hàng năm công ty. Thưởng các ngày lễ lớn như 30/4 – 1/5, 2/9.... Được làm việc trong môi trường năng động, chuyên nghiệp và có nhiều cơ hội thăng tiến trong công việc. Thưởng cuối năm theo đánh giá công việc.",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-giam-sat-camera-di-lam-ngay%2F801201.html%3Fta_source%3DITJobs_LinkDetail
Lập Trình Viên Magento Backend,,,,,"Hà Nội: Tầng 4, số 170 La Thành, Ô Chợ Dừa, Đống Đa, Hà Nội., Đống Đa",22-12-2023,Nhân viên,1,3,Toàn thời gian,Không yêu cầu,"Magenest.,JSC",,,"Mức lương thương lượng, tương xứng với năng lực upto 1500$  Xét tăng lương 2 lần/ năm, cơ hội thăng tiến  Thưởng Project, lương tháng 13,14 Thời gian làm việc 08h30-17h30, từ thứ 2thứ 6 Chế độ bảo hiểm theo quy định của Luật Lao động Công việc năng động, sáng tạo với các dự án hiện đại, đa dạng của nước ngoài: Mỹ, Châu  Âu...  Được tham gia phát triển cá nhân về chuyên môn, kỹ năng, thi các chứng chỉ chuyên môn Văn phòng hiện đại, môi trường thoải mái vui vẻ Tea break 15h hàng ngày, sinh nhật, Happy Hour hàng tháng, du lịch thường niên và các hoạt động văn nghệ, thể thao (giải game, bóng bàn...).",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Flap-trinh-vien-magento-backend%2F1149039.html%3Fta_source%3DITJobs_LinkDetail
Marketing Manager (Fluent In English),40triệu,40.0,40.0,VND,"Hà Nội: Tòa MHDI Complex, 68 Nguyễn Cơ Thạch, Từ Liêm",31-12-2023,Trưởng/Phó phòng,3,1,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,"Marketing Strategy:  Develop and implement a results-driven marketing strategy tailored to the IT outsourcing industry, aiming to increase brand awareness, generate leads, and drive business growth.  Content Creation:  Oversee the creation of marketing collateral, including whitepapers, case studies, blog posts, and other content relevant to our target audience.  Digital Marketing:  Plan and execute digital marketing campaigns across various channels, including SEO, SEM, social media, email marketing, and content marketing.  Performance Analysis:  Monitor and analyze marketing campaign performance, generating reports and insights to drive data-driven decision-making.  Team Leadership:  Lead & mentor high-performing marketing team and IC team, providing guidance, support, and coaching to ensure marketing objectives are met.  Brand Management:  Ensure brand consistency across all marketing materials and communication channels while continuously enhancing brand reputation. Market Research:  Stay updated on industry trends, market conditions, and competitor strategies to identify opportunities and challenges.  Collaboration:  Work closely with sales, business development, and other cross-functional teams to align marketing efforts with overall company objectives. ","Bachelor's degree in Marketing, Business, or a related field. Having an MBA or relevant advanced degree is a plus.  At least 3 years experience as a Marketing Lead/Manager.  Proven experience in marketing leadership roles within the IT outsourcing or technology industry.  Strong understanding of IT outsourcing services and the technology landscape.  Exceptional leadership and team management skills.  Creative thinker with a track record of developing successful marketing strategies.  In-depth knowledge of digital marketing tools and platforms.  Analytical mindset with the ability to interpret data and adapt strategies accordingly.  Excellent communication, negotiation, and interpersonal skills.  Ability to manage multiple projects simultaneously and meet deadlines ",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fmarketing-manager-fluent-in-english%2F1179037.html%3Fta_source%3DITJobs_LinkDetail
System Admin Devops,40triệu,40.0,40.0,VND,"Hà Nội: 48 Tố Hữu, Nam Từ Liêm",21-12-2023,Nhân viên,1,2,Toàn thời gian,Nam,Công Ty Truyền Thông Và Công Nghệ ICOMM Việt Nam,,,"Mức lương – thưởng Mức lương up to 40.000.000 VNĐ. Đối với ứng viên có kinh nghiệm sẽ thỏa thuận dựa trên năng lực, đảm bảo mức cạnh tranh so với thị trường. Hưởng từ 13-17 tháng lương/năm, chưa tính các khoản thưởng khác, review lương đột xuất theo quý. Quyền lợi chung Được tham gia vào các dự án lớn đang đang triển khai tại các cơ quan nhà nước, các tập đoàn, doanh nghiệp lớn nhất Việt Nam Được tham gia các Khóa đào tạo cùng Trưởng bộ phận, ban lãnh đạo Công ty. Môi trường năng động, chuyên nghiệp, nhiều cơ hội học hỏi, phát huy năng lực, phát triển bản thân Được hưởng đầy đủ chế độ đãi ngộ về lương, thưởng, bảo hiểm, nghỉ phép theo quy định của pháp luật Thưởng nóng hàng tháng đối với thực tập sinh, nhân viên, đội nhóm có thành tích xuất sắc, ...  Thưởng các ngày lễ 1/1, 30/4, 2/9, 8/3, 20/10, 1/6, rằm trung thu (cho gia đình có con nhỏ), thưởng thành tích cho các nhân sự có thành tích học tập xuất sắc, … Cùng vô vàn các chế độ phúc lợi khác (cơm trưa, pantry, du lịch, team building, happy hours, đồ ăn cho nhẹ mỗi tối cho nhân sự làm thêm giờ …) Du lịch thường xuyên 2 lần/ năm: du lịch trong nước hoặc nước ngoài, du xuân đầu năm  Được tham gia vào các chương trình hoạt động gắn kết, xây dựng văn hóa doanh nghiệp như: tổ chức các ngày 20/10, 8/3 cho ICOMM women, 6/4 cho các ICOMM men, tiệc cuối năm công ty, tiệc sinh nhật nhân sự, các hoạt động team building khác, …",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsystem-admin-devops%2F917844.html%3Fta_source%3DITJobs_LinkDetail
Full-Stack Developer,,,,,"Hồ Chí Minh: 87A Hàm Nghi, Quận 1",31-12-2023,Nhân viên,2,2,Toàn thời gian,Không yêu cầu,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,,,,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Ffull-stack-developer%2F1179671.html%3Fta_source%3DITJobs_LinkDetail
Customer Support Tiếng Nhật,,,,,"Hà Nội: FPT Tower, Cầu Giấy, Đống Đa, Hà Nội, Cầu Giấy",21-12-2023,Nhân viên,1,2,Toàn thời gian,Không yêu cầu,FPT Information System,,,,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fcustomer-support-tieng-nhat%2F1178672.html%3Fta_source%3DITJobs_LinkDetail
Lập Trình Viên ASP. Net,25triệu,25.0,25.0,VND,"Hà Nội: Vinhomes Ocean Park, Long Biên, Hà Nội, Long Biên",27-12-2023,Nhân viên,2,3,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,"Tham gia các dự án phát triển và triển khai các giải pháp cho các tổ chức tài chính, ngân hàng, dầu khí, ... Tham gia vào quá trình tìm hiểu và phân tích yêu cầu, thiết kế và tối ưu hệ thống cho hệ thống dữ liệu lớn. Tham gia các lớp đào tạo nâng cao trình độ chuyên môn. Thực hiện các công việc khác theo yêu cầu của quản lý.","Trình độ:  Tốt nghiệp Cao Đẳng, Đại học (chuyển ngành CNTT, Phần mềm, Khoa học máy tính hoặc các chuyên ngành liên quan) ...  Kinh nghiệm:  Có từ 2-3 năm kinh nghiệm làm việc tại dự án với vai trò lập trình viên ASP.Net hoặc vai trò tương đương Ngoại ngữ:  Ưu tiên ứng viên sử dụng được tiếng Anh trong công việc (không phải yêu cầu bắt buộc) Tin học:  Sử dụng tốt các công công cụ lập trình.  Yêu cầu khác: Có kinh nghiệm làm việc với : C#, ASP. NET, REST API  Có kinh nghiệm làm việc với Reactjs là một lợi thế Có kiến thức về HTML, CSS, Javascript, Jquery, AJAX, Bootstrap, AngularJS, ... Có kiến thức về cơ sở dữ liệu như: MS SQL, Oracle, MySQL, MongoDB, ... Ưu tiên ứng viên có kinh nghiệm làm dynamics. Kỹ năng:   Khả năng giao tiếp, truyền đạt tốt Kỹ năng làm việc nhóm và làm việc độc lập Kỹ năng tổ chức và quản lý thời gian Chủ động, quyết đoán, sáng tạo trong công việc Thái độ:  Chăm chỉ, nhiệt tình, hòa đồng và có trách nhiệm trong công việc. Trách nhiệm đảm bảo an toàn thông tin: Tuân thủ các quy định, quy chế về an toàn thông tin của Công ty",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Flap-trinh-vien-asp-net%2F1178500.html%3Fta_source%3DITJobs_LinkDetail
Manual Tester (Web/Mobile App),10-20triệu,10.0,20.0,VND,"Hà Nội: Số 10 Ngõ 67 Thụy Khuê, Tây Hồ, Hà Nội, Tây Hồ",21-12-2023,Nhân viên,1,1,Toàn thời gian,Không yêu cầu,Công ty TNHH VNTRIP.VN,"Tham gia phân tích yêu cầu đặc tả của sản phẩm của dự án; Thiết kế kế hoạch test, Review, update và thiết kế test case, chuẩn bị test data; Thực thi test theo kế hoạch và  kịch bản test; Log bug, theo dõi, kiểm tra các bug; Thực hiện re-test và regression test; Làm việc trực tiếp với dev để đảm bảo chất lượng dự án; Đánh giá và viết báo cáo kết quả thử nghiệm.","Từ 6 tháng trở lên kinh nghiệm trong lĩnh vực test; Ưu tiên ứng viên có kiến thức về lập trình và SQL; Ưu tiên ứng viên có kinh nghiệp test api, test web, test App; Có kiến thức và kinh nghiệm về quy trình kiểm thử phần mềm và các kĩ thuật test black box testing (functional, non-functional, component, integration, reliability, regression, re-test, user acceptance  and performance testing); Khả năng làm việc theo nhóm và làm việc độc lập; Có khả năng quản lý thời gian, sắp xếp công việc và kĩ năng giải quyết vấn đề; Cẩn thận, kiên trì, cầu tiến và có trách nhiệm cao trong công việc.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fmanual-tester-web-mobile-app%2F630874.html%3Fta_source%3DITJobs_LinkDetail
                    API Engineer                    ,,,,,"Hà Nội: Tầng 3, Sun Grand Ancora, 3 Lương Yên, P. Bạch Đằng, Q.Hai Bà Trưng, TP. Hà Nội, Hai Bà Trưng",23        ,Nhân viên,2,1,Toàn thời gian,Không yêu cầu,Công ty TNHH Tích hợp Hệ thống Quản lý Quốc tế (Gimasys),"Triển khai và bảo mật API.  Thực hiện cấu hình các chính sách truy cập Api.  Mở rộng và thêm mới các chính sách truy cập API khi có yêu cầu.  Cài đặt/ Cung cấp môi trường triển khai API Management  Vận hành và mở rộng môi trường quản lý API khi có yêu cầu.  Đào tạo, hỗ trợ người dùng cuối trong quá trình sử dụng ứng dụng. Tạo các hướng dẫn cài đặt và cấu hình hệ thống API Management Hướng dẫn và hỗ trợ đồng nghiệp trong kỹ năng và hiểu biết của bản thân Nghiên cứu công nghệ và phương pháp mới trong quản lý và tích hợp API Làm việc với Sales/ Solutions Consultants và khách hàng để trợ giúp, thiết kế  và xây dựng các functional APIs nhằm giải quyết các vấn đề tích hợp","Có từ 1-2 năm kinh nghiệm ở các vị trí như: Kỹ sư phát triển phần mềm/ Lập trình viên với API. Thành thạo một trong các ngôn ngữ lập trình NodeJS / Java / Python Kubernetes Google Cloud fundamentals ( Networking, IAM, ….)",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fapi-engineer%2F1139450.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Phát Triển Ứng Dụng (App Developer ) - Đi Làm Ngay,15-25triệu,15.0,25.0,VND,"Hồ Chí Minh: 62A CMT8 phường Võ Thị Sáu quận 3, Quận 3",30-11-2023,Nhân viên,2,3,Toàn thời gian,Không yêu cầu,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THƯƠNG TÍN,"Tham gia xây dựng, phát triển, sữa lỗi và kiểm thử các ứng dụng phần mềm hỗ trợ nghiệp vụ của các Đơn vị nghiệp vụ trong hoạt động Ngân hàng. Hỗ trợ công tác đào tạo sử dụng các hệ thống, phần mềm ứng dụng cho các Đơn vị nghiệp vụ của Ngân hàng. Phối hợp với các bộ phận vận hành để hỗ trợ triển khai và xử lý các sự cố nếu có. Tìm hiểu và nắm bắt các nghiệp vụ trong hoạt động của Ngân hàng. Tìm hiểu và nắm bắt các hệ thống, giải pháp CNTT đang được sử dụng hoặc đang trong quá trình phát triển của Ngân hàng như Core Banking, Core Thẻ, v.v.. Thu thập, phân tích, thiết kế và phát triển các giải pháp phần mềm để đáp ứng nhu cầu hoạt động của các Đơn vị nghiệp vụ. Tìm hiểu và sữa lỗi liên quan đến các hệ thống phần mềm được sử dụng trong Ngân hàng. Nghiên cứu, tìm hiểu và thử nghiệm các công nghệ, kỹ thuật mới nhằm cung cấp các giải pháp CNTT hữu ích cho hoạt động của Ngân hàng. Phối hợp các bộ phận vận hành liên quan đến hệ thống CNTT để hỗ trợ vận hành và giải quyết các sự cố (nếu có). Thiết kế và thực hiện các chương trình đào tạo đối với các giải pháp CNTT sẽ được ứng dụng đến các Đơn vị nghiệp vụ liên quan.","Tốt nghiệp Đại học các ngành trong lĩnh vực CNTT và các chuyên ngành liên quan. Tối thiểu 2 năm kinh nghiệm Có kiến thức tốt về các nền tảng Java hoặc .NET; OOP, Webservice/RESTful, Unit Test; Front-end: JavaScript, CSS, HTML; Có hiểu biết và kinh nghiệm triển khai đối với các application server như Tomcat, Jboss. IBM WebSphere; hoặc IIS. Có kiến thức tốt về cơ sở dữ liệu (tiêu biểu là Oracle và MS SQL), PL/SQL (viết function, stored procedure, v.v..) Có kinh nghiệm làm việc nhóm và hiểu rõ về các quy trình phát triển phần mềm. Có khả năng tìm hiểu và nắm bắt các kỹ thuật, công nghệ mới và sử dụng tốt các ứng dụng văn phòng. Có kỹ năng về tiếng anh cần thiết cho việc nghiên cứu, tìm hiểu tài liệu và các công nghệ mới. Ưu tiên người có hiểu biết về bảo mật, tiêu chuẩn bảo mật trong phát triển phần mềm. Ưu tiên người có kinh nghiệm về các framwork như Bootstrap, AngularJS, Node.js, Jquery. Ưu tiên người có kinh nghiệm về phát triển ứng dụng mobile trên Android, iOS hoặc React Native. Ưu tiên người có kinh nghiệm làm công việc phát triển ứng dụng trong ngân hàng. Ưu tiên người có kinh nghiệm về Continuous Integration/Continuous Delivery; Maven; Jenkins. Ưu tiên người có hiểu biết về SOA.","Lương thưởng: tháng 13 lương hiệu suất... Được tham gia Bảo hiểm sức khỏe Vietcare Bank cho nhân viên và người thân cán bộ nhân viên Thời gian làm việc: 7:45 – 17:30 từ thứ 2 đến thứ 6 Khám sức khỏe tổng quát định kỳ hàng năm Phụ cấp ăn trưa Được hưởng đầy đủ các chế độ BHXH – BHYT – BHTN theo quy định của Nhà nước Nghỉ phép và Teambuilding hàng năm Hỗ trợ  lãi suất, chính sách vay ưu đãi cho cán bộ nhân viên Được đào tạo các khóa học cho Nhân viên về nghiệp vụ chuyên sâu và các kĩ năng mềm Lộ trình thăng tiến rõ ràng: nhân viên chuyên viên chuyên viên cao cấp trưởng bộ phận... Hỗ trợ công cụ phục vụ, đồng phục. Môi trường làm việc hòa đồng, hỗ trợ giúp đỡ lẫn nhau",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-phat-trien-ung-dung-app-developer-di-lam-ngay%2F1165584.html%3Fta_source%3DITJobs_LinkDetail
